timestamps,TP9,AF7,AF8,TP10,Right AUX
1731796501.937,-865.234,-692.871,3.418,-992.188,0.000
1731796501.941,361.328,910.156,39.551,-270.508,0.000
1731796501.945,-765.137,877.441,107.422,-865.234,0.000
1731796501.949,740.234,-811.035,79.102,785.156,0.000
1731796501.953,-773.926,-1000.000,3.906,-811.035,0.000
1731796501.957,-264.648,697.266,22.461,-937.500,0.000
1731796501.960,-850.098,-991.211,78.125,790.527,0.000
1731796501.964,888.184,-693.848,59.082,992.676,0.000
1731796501.968,-696.289,-1000.000,0.488,-706.055,0.000
1731796501.972,-907.227,517.090,-0.977,-1000.000,0.000
1731796501.976,794.922,-858.398,53.223,626.465,0.000
1731796501.980,-881.836,-307.129,72.266,-930.664,0.000
1731796501.984,-488.770,-1000.000,17.578,-517.578,0.000
1731796501.988,-1000.000,4.883,-7.812,-1000.000,0.000
1731796501.992,564.453,-845.703,59.082,149.414,0.000
1731796501.996,-758.789,381.836,95.703,-829.590,0.000
1731796502.000,250.488,-1000.000,36.133,175.293,0.000
1731796502.003,-981.445,-702.637,-27.832,-1000.000,0.000
1731796502.007,245.605,933.105,10.254,-529.785,0.000
1731796502.011,-796.387,841.309,54.199,976.074,0.000
1731796502.015,815.430,-823.242,14.648,898.438,0.000
1731796502.019,-736.816,-1000.000,-34.668,-756.836,0.000
1731796502.023,-620.117,672.852,-0.977,-1000.000,0.000
1731796502.027,-965.332,-976.562,59.082,722.168,0.000
1731796502.031,934.082,-658.203,48.340,-982.910,0.000
1731796502.035,-703.613,-1000.000,-16.113,-696.777,0.000
1731796502.039,-987.305,434.082,-34.668,-1000.000,0.000
1731796502.042,641.113,-830.566,30.762,544.434,0.000
1731796502.046,-865.234,-181.641,51.270,-945.801,0.000
1731796502.050,-312.988,-1000.000,0.000,-213.379,0.000
1731796502.054,-972.656,-231.445,-36.621,-1000.000,0.000
1731796502.058,538.086,-911.133,3.418,59.082,0.000
1731796502.062,-769.531,431.152,49.316,-817.871,0.000
1731796502.066,560.547,-1000.000,14.160,649.902,0.000
1731796502.070,-901.855,-864.258,-37.598,-932.129,0.000
1731796502.074,1.953,754.883,0.488,-699.707,0.000
1731796502.078,-807.129,-994.629,38.574,953.613,0.000
1731796502.082,863.770,-702.637,-4.883,952.148,0.000
1731796502.085,-698.242,-1000.000,-61.523,-708.496,0.000
1731796502.089,-812.500,590.820,-35.156,-1000.000,0.000
1731796502.093,915.039,-791.504,27.344,669.434,0.000
1731796502.097,-967.773,-5.371,32.715,-877.930,0.000
1731796502.101,-603.516,-1000.000,-19.531,-509.766,0.000
1731796502.105,-1000.000,250.977,-55.664,-1000.000,0.000
1731796502.109,587.891,-760.742,-0.977,514.160,0.000
1731796502.113,-768.555,566.406,31.738,-781.250,0.000
1731796502.117,-105.957,-930.664,-15.137,83.496,0.000
1731796502.121,-985.352,-301.758,-55.176,-1000.000,0.000
1731796502.125,464.844,-881.836,-4.883,31.738,0.000
1731796502.128,-777.344,878.418,39.551,-831.543,0.000
